ResponseId,inv_1,inv_2,inv_3,inv_1_num,inv_2_num,inv_3_num,involvement_score,group,s1_pos,s2_neg,s1_neg,s2_pos,s1_pos_num,s2_neg_num,s1_neg_num,s2_pos_num,s1_choice,s1_frame,s2_choice,s2_frame,dem_1,dem_2,dem_3,dem_4,dem_5,dem_6
R_9ua5XTvIhKfF6tX,Quite often,Strongly agree,Quite often,3,5,3,11,B,,,Might or might not,Probably would,,,3,4,3,NEG,4,POS,United Kingdom,25 - 34,Female,Asian,Professional degree,Student
R_2U9qH7HMnUyfV0c,Sometimes,Somewhat agree,Sometimes,2,4,2,8,A,Might or might not,Probably would,,,3,4,,,3,POS,4,NEG,Australia,18 - 24,Female,White,4 year degree,Employed part time
R_T2d6BSViCyKUdwJ,Sometimes,Somewhat agree,Quite often,2,4,3,9,A,Probably would not,Probably would not,,,2,2,,,2,POS,2,NEG,United States,18 - 24,Female,White,High school graduate,Student
R_OeCyrr4sCiumuzv,Quite often,Strongly agree,Sometimes,3,5,2,10,B,,,Probably would not,Probably would not,,,2,2,2,NEG,2,POS,United Kingdom,18 - 24,Female,White,High school graduate,Employed part time
R_USnLVPpSWYGzGSZ,Most of the time,Strongly agree,Most of the time,4,5,4,13,B,,,Probably would,Probably would,,,4,4,4,NEG,4,POS,Sweden,25 - 34,Male,White,4 year degree,Student
R_1IgWfLN2aGTJ1as,Never,Strongly agree,Never,1,5,1,7,A,Definitely would not,Definitely would not,,,1,1,,,1,POS,1,NEG,Netherlands,18 - 24,Male,White,4 year degree,Employed part time
R_3GBaX9IkJnhujI5,Always,Strongly agree,Never,5,5,1,11,A,Definitely would not,Definitely would not,,,1,1,,,1,POS,1,NEG,Austria,35 - 44,Female,White,4 year degree,Employed part time
R_1OUGVpPjgarguOi,Quite often,Strongly agree,Always,3,5,5,13,B,,,Might or might not,Probably would,,,3,4,3,NEG,4,POS,Belgium,25 - 34,Female,Asian,Professional degree,Student
R_3fjJ55u2ltDJYG0,Most of the time,Somewhat agree,Quite often,4,4,3,11,A,Probably would not,Probably would,,,2,4,,,2,POS,4,NEG,Italy,18 - 24,Female,White,4 year degree,Student
R_6EWdsPKDNGvRmP7,Quite often,Strongly agree,Sometimes,3,5,2,10,B,,,Might or might not,Probably would,,,3,4,3,NEG,4,POS,Italy,18 - 24,Female,White,4 year degree,Employed full time
R_0qWvLWrUGDFYR1v,Sometimes,Strongly agree,Sometimes,2,5,2,9,B,,,Might or might not,Probably would not,,,3,2,3,NEG,2,POS,Italy,18 - 24,Female,White,Bachelor's degree,Employed full time
